ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.115913391254361,0.065052748356181,0.09429580426041,0.149145921585812,0.575592111493002
2,0.584034270594798,0.066621218783549,0.076183686560306,0.158971831951593,0.114189002199082
3,0.274974009849091,0.066247155224194,0.091495614411368,0.234605760617815,0.332677457103565
4,0.286017084002087,0.068153870563368,0.078935766557238,0.196461128436024,0.370432163169358
5,0.299425104833862,0.065593448627089,0.084695219551113,0.431000565922443,0.119285656020829
6,0.238955356274255,0.065248498999199,0.078790665439464,0.43518476103113,0.181820736028691
7,0.351278311231812,0.087623789122754,0.253928651159238,0.12901035158628,0.178158889449336
8,0.623292702923341,0.070052449113006,0.076825318615546,0.083962534163265,0.145866980594123
9,0.638408273437104,0.06465192388043,0.066755437233315,0.138315896481802,0.091868456472105
10,0.286351217378747,0.065294759285265,0.135711464963714,0.394142682934038,0.118499878853085
11,0.570552644053027,0.065552528722036,0.066374818369783,0.165367146249876,0.132152868426044
12,0.116686422002489,0.065348889979737,0.174273747720411,0.194452144190827,0.449238786560479
13,0.556755690340685,0.065411176979624,0.079459585922064,0.130431494970407,0.167942036420398
14,0.607790604446917,0.065691364229614,0.08671551110897,0.08579244959469,0.154010064566212
15,0.679570129235839,0.064438592342089,0.066937393266138,0.11173405306016,0.077319809317175
16,0.627660994810721,0.064642793550934,0.067988079119579,0.149402737184203,0.090305385245237
17,0.282122791613015,0.065750106749577,0.110262182907155,0.398664870314101,0.14320006238599
18,0.370195919001037,0.065339729959808,0.07562155942363,0.38816515540354,0.100677618749688
19,0.206665709514678,0.067216810091376,0.083950206214335,0.186286807643318,0.455880472745111
20,0.078924567801059,0.069727700154252,0.254218548685375,0.086876563531316,0.510252607410365
21,0.404730749253199,0.06571788850869,0.078627705981075,0.292775927810862,0.158147732016245
22,0.066673804009709,0.070412357456067,0.10587640700986,0.065871685311338,0.691165740780312
23,0.547497930648161,0.065081985485473,0.072401241325961,0.156945034577168,0.158073824727043
24,0.069313296579886,0.069621586267479,0.08972487639626,0.065672444577652,0.705667805608365
25,0.566502827214095,0.066397360160299,0.075490473128965,0.167987997815445,0.123621346803469
26,0.161699299204093,0.072327527058122,0.139576917837718,0.085663504659744,0.540732746894151
